batch,trial,case,variant,repeat,passed,oracle_pass,elapsed_s,reasoning_words,reasoning_chars,reasoning_blocks,output_tokens,tool_calls,worker,prompt_sha256,result_sha256
prompt-audit-20260912-phrase-sweep,patch-ph_reasoning-r0,patch,ph_reasoning,0,True,True,24.23,164,977,6,683,5,marathon-qwen3.8-27b-uncensored-1,0342312aca32f853d85bc47ffcf81f6dd1e53ea1097d01a008c658658d0b858d,3a41f4a2b0a0306bad4a1df1072260a997e49126e949195a19ef6e23b33f7831
prompt-audit-20260912-phrase-sweep,retry-ph_brief-r1,retry,ph_brief,1,True,True,54.46,790,5431,8,3735,8,marathon-qwen3.8-27b-uncensored-3,71be7cdda704fe91544d9d56e1ad6fbd57f850ccbe54e8daedaa3f7d29677dcd,3da64c619bbbcf573d562341830d6606ce9e30d96dc34c5168d124bac6280dc1
prompt-audit-20260912-phrase-sweep,ttl_cache-ph_efficient-r2,ttl_cache,ph_efficient,2,True,True,76.21,1259,8157,7,5360,6,marathon-qwen3.8-27b-uncensored-2,6e139f3f68bec564bc2d6487e307bd4533a86378e07089725e5b979818b20247,6767fbaad7e44d3d7d63905e9ed2811641f5bbbcb0f3036456729a07cc476493
prompt-audit-20260912-phrase-sweep,ledger-ph_direct-r2,ledger,ph_direct,2,True,True,81.32,1558,10800,9,5301,8,marathon-qwen3.8-27b-uncensored-1,87067288676d5a7058ef2c013b25daa8fafe1e9299ecc641eb0454479b6f3320,79ff8f5fd77d82ca1b7e9e13f539369c2702e997d1d013099be741a6c6a86b02
prompt-audit-20260912-phrase-sweep,ledger-no_minimize-r1,ledger,no_minimize,1,False,False,44.89,1402,8813,4,2350,3,marathon-qwen3.8-27b-uncensored-1,df21e131afddc55b35f1b61a7d92bc2f7e2b90f22edd204974ce23bae91417ec,ef0557ea17b6be5d2dcb24eada9c6907359b305e7f92b6da9d36a83b9282b0ab
prompt-audit-20260912-phrase-sweep,ledger-baseline-r2,ledger,baseline,2,True,True,88.35,1798,11987,9,5672,8,marathon-qwen3.8-27b-uncensored-2,64fba6fc6efab25445963b7bda5c45a35b779ad4725a98e2dca5563302761b17,714072752521485eeb0535b2b5a562e1e521cee2a5e87d1ecb8702be4a41dab7
prompt-audit-20260912-phrase-sweep,patch-ph_terse-r0,patch,ph_terse,0,True,True,27.92,125,754,7,858,6,marathon-qwen3.8-27b-uncensored-2,63b5fa97aab1b0fd0d418aeb62dac2ec363f2f291946b149f32012dfac21e945,d02beaf5984704847ef6a48279b77050a4b0ba09dd2738d2ef57c81e5d4537ed
prompt-audit-20260912-phrase-sweep,audit_only-ph_efficient-r2,audit_only,ph_efficient,2,True,True,12.0,95,539,2,476,1,marathon-qwen3.8-27b-uncensored-2,6e139f3f68bec564bc2d6487e307bd4533a86378e07089725e5b979818b20247,320950ec9019e95cea1f8abe1354c3446c6dac43939727a364bb96660591e1fc
prompt-audit-20260912-phrase-sweep,ledger-ph_avoid-r2,ledger,ph_avoid,2,True,True,158.35,3786,24164,13,10532,12,marathon-qwen3.8-27b-uncensored-3,308241b4e705592ea55c7b64a3e7932f3a1db3184991c98291d3007a5dc5c8c7,9524194d4fd258e4a5cc0932b4f5295a076d32f7d3230d558e55693e993dc6a1
prompt-audit-20260912-phrase-sweep,ledger-ph_direct-r1,ledger,ph_direct,1,True,True,133.09,3172,20638,13,9050,12,marathon-qwen3.8-27b-uncensored-1,87067288676d5a7058ef2c013b25daa8fafe1e9299ecc641eb0454479b6f3320,8f89919124c058c67c0f5a7c2e9606db5cbde693cee18663a443e447292360f9
prompt-audit-20260912-phrase-sweep,retry-ph_direct-r1,retry,ph_direct,1,True,True,81.89,1099,7047,11,5525,10,marathon-qwen3.8-27b-uncensored-2,87067288676d5a7058ef2c013b25daa8fafe1e9299ecc641eb0454479b6f3320,621fc2cd3433086c0e183bac2aa2153a7fc98b6ed9d08a50b6954875f38343e3
